producto,precio,categoria,marca,stock,valor_inventario
Essence Mascara Lash Princess,9.99,Belleza,Essence,99,989.01
Eyeshadow Palette With Mirror,19.99,Belleza,Glamour Beauty,34,679.66
Powder Canister,14.99,Belleza,Velvet Touch,89,1334.1100000000001
Red Lipstick,12.99,Belleza,Chic Cosmetics,91,1182.09
Red Nail Polish,8.99,Belleza,Nail Couture,79,710.21
Calvin Klein Ck One,49.99,Perfumes,Calvin Klein,29,1449.71
Chanel Coco Noir Eau De,129.99,Perfumes,Chanel,58,7539.42
Dior J'Adore,89.99,Perfumes,Dior,98,8819.019999999999
Dolce Shine Eau De,69.99,Perfumes,Dolce & Gabbana,4,279.96
Gucci Bloom Eau De,79.99,Perfumes,Gucci,91,7279.089999999999
Annibale Colombo Bed,1899.99,Muebles,Annibale Colombo,88,167199.12
Annibale Colombo Sofa,2499.99,Muebles,Annibale Colombo,60,149999.4
Bedside Table African Cherry,299.99,Muebles,Furniture Co.,64,19199.36
Knoll Saarinen Executive Conference Chair,499.99,Muebles,Knoll,26,12999.74
Wooden Bathroom Sink With Mirror,799.99,Muebles,Bath Trends,7,5599.93
